norm,player,pick,year
kenyon martin,Kenyon Martin,1,2000
stromile swift,Stromile Swift,2,2000
darius miles,Darius Miles,3,2000
marcus fizer,Marcus Fizer,4,2000
mike miller,Mike Miller,5,2000
dermarr johnson,DerMarr Johnson,6,2000
chris mihm,Chris Mihm,7,2000
jamal crawford,Jamal Crawford,8,2000
joel przybilla,Joel Przybilla,9,2000
keyon dooling,Keyon Dooling,10,2000
jerome moiso,Jérôme Moïso,11,2000
etan thomas,Etan Thomas,12,2000
courtney alexander,Courtney Alexander,13,2000
mateen cleaves,Mateen Cleaves,14,2000
jason collier,Jason Collier,15,2000
hedo turkoglu,Hedo Türkoğlu,16,2000
desmond mason,Desmond Mason,17,2000
quentin richardson,Quentin Richardson,18,2000
jamaal magloire,Jamaal Magloire,19,2000
speedy claxton,Speedy Claxton,20,2000
morris peterson,Morris Peterson,21,2000
donnell harvey,Donnell Harvey,22,2000
deshawn stevenson,DeShawn Stevenson,23,2000
dalibor bagaric,Dalibor Bagarić,24,2000
jake tsakalidis,Jake Tsakalidis,25,2000
mamadou ndiaye,Mamadou N'Diaye,26,2000
primoz brezec,Primož Brezec,27,2000
erick barkley,Erick Barkley,28,2000
mark madsen,Mark Madsen,29,2000
marko jaric,Marko Jarić,30,2000
dan langhi,Dan Langhi,31,2000
aj guyton,A.J. Guyton,32,2000
jake voskuhl,Jake Voskuhl,33,2000
khalid elamin,Khalid El-Amin,34,2000
mike smith,Mike Smith,35,2000
soumaila samake,Soumaila Samake,36,2000
eddie house,Eddie House,37,2000
eduardo najera,Eduardo Nájera,38,2000
lavor postell,Lavor Postell,39,2000
hanno mottola,Hanno Möttölä,40,2000
chris carrawell,Chris Carrawell,41,2000
olumide oyedeji,Olumide Oyedeji,42,2000
michael redd,Michael Redd,43,2000
brian cardinal,Brian Cardinal,44,2000
jabari smith,Jabari Smith Jr.,3,2022
deeandre hulett,DeeAndre Hulett,46,2000
josip sesar,Josip Sesar,47,2000
mark karcher,Mark Karcher,48,2000
jason hart,Jason Hart,49,2000
kaniel dickens,Kaniel Dickens,50,2000
igor rakocevic,Igor Rakočević,51,2000
ernest brown,Ernest Brown,52,2000
dan mcclintock,Dan McClintock,53,2000
cory hightower,Cory Hightower,54,2000
chris porter,Chris Porter,55,2000
jaquay walls,Jaquay Walls,56,2000
scoonie penn,Scoonie Penn,57,2000
pete mickeal,Pete Mickeal,58,2000
kwame brown,Kwame Brown,1,2001
tyson chandler,Tyson Chandler,2,2001
pau gasol,Pau Gasol,3,2001
eddy curry,Eddy Curry,4,2001
jason richardson,Jason Richardson,5,2001
shane battier,Shane Battier,6,2001
eddie griffin,Eddie Griffin,7,2001
desagana diop,DeSagana Diop,8,2001
rodney white,Rodney White,9,2001
joe johnson,Joe Johnson,10,2001
kedrick brown,Kedrick Brown,11,2001
vladimir radmanovic,Vladimir Radmanović,12,2001
richard jefferson,Richard Jefferson,13,2001
troy murphy,Troy Murphy,14,2001
steven hunter,Steven Hunter,15,2001
kirk haston,Kirk Haston,16,2001
michael bradley,Michael Bradley,17,2001
jason collins,Jason Collins,18,2001
zach randolph,Zach Randolph,19,2001
brendan haywood,Brendan Haywood,20,2001
joseph forte,Joseph Forte,21,2001
jeryl sasser,Jeryl Sasser,22,2001
brandon armstrong,Brandon Armstrong,23,2001
raul lopez,Raül López,24,2001
gerald wallace,Gerald Wallace,25,2001
samuel dalembert,Samuel Dalembert,26,2001
jamaal tinsley,Jamaal Tinsley,27,2001
tony parker,Tony Parker,28,2001
trenton hassell,Trenton Hassell,30,2001
gilbert arenas,Gilbert Arenas,31,2001
omar cook,Omar Cook,32,2001
will solomon,Will Solomon,33,2001
terence morris,Terence Morris,34,2001
brian scalabrine,Brian Scalabrine,35,2001
jeff trepagnier,Jeff Trepagnier,36,2001
damone brown,Damone Brown,37,2001
mehmet okur,Mehmet Okur,38,2001
michael wright,Michael Wright,39,2001
earl watson,Earl Watson,40,2001
jamison brewer,Jamison Brewer,41,2001
bobby simmons,Bobby Simmons,42,2001
eric chenowith,Eric Chenowith,43,2001
kyle hill,Kyle Hill,44,2001
sean lampley,Sean Lampley,45,2001
loren woods,Loren Woods,46,2001
ousmane cisse,Ousmane Cisse,47,2001
antonis fotsis,Antonis Fotsis,48,2001
ken johnson,Ken Johnson,49,2001
ruben boumtjeboumtje,Ruben Boumtje-Boumtje,50,2001
alton ford,Alton Ford,51,2001
andre hutson,Andre Hutson,52,2001
jarron collins,Jarron Collins,53,2001
kenny satterfield,Kenny Satterfield,54,2001
maurice jeffers,Maurice Jeffers,55,2001
robertas javtokas,Robertas Javtokas,56,2001
alvin jones,Alvin Jones,57,2001
bryan bracey,Bryan Bracey,58,2001
yao ming,Yao Ming,1,2002
jay williams,Jay Williams,2,2002
mike dunleavy,Mike Dunleavy,3,2002
drew gooden,Drew Gooden,4,2002
nikoloz tskitishvili,Nikoloz Tskitishvili,5,2002
dajuan wagner,Dajuan Wagner,6,2002
nene,Nenê,7,2002
chris wilcox,Chris Wilcox,8,2002
amare stoudemire,Amar'e Stoudemire,9,2002
caron butler,Caron Butler,10,2002
jared jeffries,Jared Jeffries,11,2002
melvin ely,Melvin Ely,12,2002
marcus haislip,Marcus Haislip,13,2002
fred jones,Fred Jones,14,2002
bostjan nachbar,Boštjan Nachbar,15,2002
jiri welsch,Jiří Welsch,16,2002
juan dixon,Juan Dixon,17,2002
curtis borchardt,Curtis Borchardt,18,2002
ryan humphrey,Ryan Humphrey,19,2002
kareem rush,Kareem Rush,20,2002
qyntel woods,Qyntel Woods,21,2002
casey jacobsen,Casey Jacobsen,22,2002
tayshaun prince,Tayshaun Prince,23,2002
nenad krstic,Nenad Krstić,24,2002
frank williams,Frank Williams,25,2002
john salmons,John Salmons,26,2002
chris jefferies,Chris Jefferies,27,2002
dan dickau,Dan Dickau,28,2002
steve logan,Steve Logan,30,2002
roger mason,Roger Mason,31,2002
robert archibald,Robert Archibald,32,2002
vincent yarbrough,Vincent Yarbrough,33,2002
dan gadzuric,Dan Gadzuric,34,2002
carlos boozer,Carlos Boozer,35,2002
milos vujanic,Milos Vujanic,36,2002
david andersen,David Andersen,37,2002
tito maddox,Tito Maddox,38,2002
rod grizzard,Rod Grizzard,39,2002
juan carlos navarro,Juan Carlos Navarro,40,2002
mario kasun,Mario Kasun,41,2002
ronald murray,Ronald Murray,42,2002
jason jennings,Jason Jennings,43,2002
lonny baxter,Lonny Baxter,44,2002
sam clancy,Sam Clancy,45,2002
matt barnes,Matt Barnes,46,2002
jamal sampson,Jamal Sampson,47,2002
chris owens,Chris Owens,48,2002
peter fehse,Peter Fehse,49,2002
darius songaila,Darius Songaila,50,2002
federico kammerichs,Federico Kammerichs,51,2002
marcus taylor,Marcus Taylor,52,2002
rasual butler,Rasual Butler,53,2002
tamar slay,Tamar Slay,54,2002
mladen sekularac,Mladen Sekularac,55,2002
luis scola,Luis Scola,56,2002
randy holcomb,Randy Holcomb,57,2002
corsley edwards,Corsley Edwards,58,2002
lebron james,LeBron James,1,2003
darko milicic,Darko Miličić,2,2003
carmelo anthony,Carmelo Anthony,3,2003
chris bosh,Chris Bosh,4,2003
dwyane wade,Dwyane Wade,5,2003
chris kaman,Chris Kaman,6,2003
kirk hinrich,Kirk Hinrich,7,2003
tj ford,T.J. Ford,8,2003
mike sweetney,Mike Sweetney,9,2003
jarvis hayes,Jarvis Hayes,10,2003
mickael pietrus,Mickaël Piétrus,11,2003
nick collison,Nick Collison,12,2003
marcus banks,Marcus Banks,13,2003
luke ridnour,Luke Ridnour,14,2003
reece gaines,Reece Gaines,15,2003
troy bell,Troy Bell,16,2003
zarko cabarkapa,Žarko Čabarkapa,17,2003
david west,David West,18,2003
sasha pavlovic,Sasha Pavlović,19,2003
dahntay jones,Dahntay Jones,20,2003
boris diaw,Boris Diaw,21,2003
zoran planinic,Zoran Planinić,22,2003
travis outlaw,Travis Outlaw,23,2003
brian cook,Brian Cook,24,2003
carlos delfino,Carlos Delfino,25,2003
ndudi ebi,Ndudi Ebi,26,2003
kendrick perkins,Kendrick Perkins,27,2003
leandro barbosa,Leandro Barbosa,28,2003
josh howard,Josh Howard,29,2003
maciej lampe,Maciej Lampe,30,2003
jason kapono,Jason Kapono,31,2003
luke walton,Luke Walton,32,2003
jerome beasley,Jerome Beasley,33,2003
sofoklis schortsanitis,Sofoklis Schortsanitis,34,2003
szymon szewczyk,Szymon Szewczyk,35,2003
mario austin,Mario Austin,36,2003
travis hansen,Travis Hansen,37,2003
steve blake,Steve Blake,38,2003
slavko vranes,Slavko Vraneš,39,2003
derrick zimmerman,Derrick Zimmerman,40,2003
willie green,Willie Green,41,2003
zaza pachulia,Zaza Pachulia,42,2003
keith bogans,Keith Bogans,43,2003
malick badiane,Malick Badiane,44,2003
matt bonner,Matt Bonner,45,2003
sani becirovic,Sani Bečirovič,46,2003
mo williams,Mo Williams,47,2003
james lang,James Lang,48,2003
james jones,James Jones,49,2003
paccelis morlende,Paccelis Morlende,50,2003
kyle korver,Kyle Korver,51,2003
remon van de hare,Remon van de Hare,52,2003
tommy smith,Tommy Smith,53,2003
nedzad sinanovic,Nedžad Sinanović,54,2003
rick rickert,Rick Rickert,55,2003
brandon hunter,Brandon Hunter,56,2003
xue yuyang,Xue Yuyang,57,2003
andreas glyniadakis,Andreas Glyniadakis,58,2003
dwight howard,Dwight Howard,1,2004
emeka okafor,Emeka Okafor,2,2004
ben gordon,Ben Gordon,3,2004
shaun livingston,Shaun Livingston,4,2004
devin harris,Devin Harris,5,2004
josh childress,Josh Childress,6,2004
luol deng,Luol Deng,7,2004
rafael araujo,Rafael Araújo,8,2004
andre iguodala,Andre Iguodala,9,2004
luke jackson,Luke Jackson,10,2004
andris biedrins,Andris Biedriņš,11,2004
robert swift,Robert Swift,12,2004
sebastian telfair,Sebastian Telfair,13,2004
kris humphries,Kris Humphries,14,2004
al jefferson,Al Jefferson,15,2004
kirk snyder,Kirk Snyder,16,2004
josh smith,Josh Smith,17,2004
jr smith,J.R. Smith,18,2004
dorell wright,Dorell Wright,19,2004
jameer nelson,Jameer Nelson,20,2004
pavel podkolzin,Pavel Podkolzin,21,2004
viktor khryapa,Viktor Khryapa,22,2004
sergei monia,Sergei Monia,23,2004
delonte west,Delonte West,24,2004
tony allen,Tony Allen,25,2004
kevin martin,Kevin Martin,26,2004
sasha vujacic,Sasha Vujačić,27,2004
beno udrih,Beno Udrih,28,2004
david harrison,David Harrison,29,2004
anderson varejao,Anderson Varejão,30,2004
jackson vroman,Jackson Vroman,31,2004
peter john ramos,Peter John Ramos,32,2004
lionel chalmers,Lionel Chalmers,33,2004
donta smith,Donta Smith,34,2004
andre emmett,Andre Emmett,35,2004
