Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM
Victor Wembanyama,SAS,22,F-C,3.80691,3.99316,7.8001
Nikola Jokic,DEN,31,C,6.39223,0.944166,7.3364
Kawhi Leonard,LAC,34,F,6.15683,1.14009,7.2969
Shai Gilgeous-Alexander,OKC,27,G,5.67282,1.34442,7.0172
Giannis Antetokounmpo,MIL,31,F,5.51268,1.13853,6.6512
Luka Doncic,LAL,27,F-G,5.92548,0.47957,6.4051
LaMelo Ball,CHA,24,G,5.94103,-0.802363,5.1387
Ty Jerome,MEM,28,G-F,5.17287,-0.120549,5.0523
Karl-Anthony Towns,NYK,30,C-F,2.8901,1.73574,4.6258
Chet Holmgren,OKC,24,C-F,1.82147,2.75885,4.5803
Jimmy Butler III,GSW,36,F,3.22551,1.25031,4.4758
Stephen Curry,GSW,38,G,5.27412,-0.837138,4.437
Jayson Tatum,BOS,28,F-G,3.44377,0.9215,4.3653
Joel Embiid,PHI,32,C-F,3.63772,0.665664,4.3034
Bam Adebayo,MIA,28,C-F,2.10465,1.79837,3.903
Franz Wagner,ORL,24,F,1.86643,1.87549,3.7419
Tyrese Haliburton,IND,26,G,3.5758,0.155174,3.731
Jarrett Allen,CLE,28,C,2.41388,1.31368,3.7276
Donovan Mitchell,CLE,29,G,3.60226,0.0517419,3.654
Cade Cunningham,DET,24,G,2.7281,0.925779,3.6539
Lauri Markkanen,UTA,29,F-C,3.37353,0.278889,3.6524
Kyrie Irving,DAL,34,G,3.21727,0.315952,3.5332
Paul Reed,DET,26,F,1.56443,1.90927,3.4737
Dyson Daniels,ATL,23,G,0.866059,2.59648,3.4625
Ausar Thompson,DET,23,G-F,-0.49931,3.6449,3.1456
Isaiah Hartenstein,OKC,28,C-F,1.10541,2.01305,3.1185
Scottie Barnes,TOR,24,F-G,1.26855,1.83724,3.1058
Ajay Mitchell,OKC,23,G,1.07099,2.02456,3.0955
Neemias Queta,BOS,26,C,1.08117,1.95386,3.035
Amen Thompson,HOU,23,G-F,1.38704,1.60718,2.9942
Jalen Williams,OKC,25,G-F,1.64378,1.25444,2.8982
Devin Booker,PHX,29,G,3.59481,-0.720469,2.8743
Jalen Brunson,NYK,29,G,4.13409,-1.26742,2.8667
Derrick White,BOS,31,G,0.779366,2.0854,2.8648
Kevin Durant,HOU,37,F,2.91099,-0.141696,2.7693
Rudy Gobert,MIN,33,C,-0.92341,3.57895,2.6555
Alex Caruso,OKC,32,G,-0.784997,3.40486,2.6199
Donovan Clingan,POR,22,C,1.90969,0.705737,2.6154
Kon Knueppel,CHA,20,G-F,2.6601,-0.0534669,2.6066
Pascal Siakam,IND,32,F,1.8899,0.711244,2.6011
Jamal Murray,DEN,29,G,4.04466,-1.46073,2.5839
Brandon Miller,CHA,23,F,2.06189,0.498765,2.5607
Payton Pritchard,BOS,28,G,3.0666,-0.513765,2.5528
Jrue Holiday,POR,36,G,0.991162,1.54164,2.5328
OG Anunoby,NYK,28,F-G,1.46228,1.05163,2.5139
Darius Garland,LAC,26,G,3.20493,-0.709099,2.4958
Michael Porter Jr.,BKN,27,F,3.62862,-1.15357,2.4751
Austin Reaves,LAL,28,G,2.4529,-0.114192,2.3387
Kristaps Porzingis,GSW,30,F-C,1.98069,0.309221,2.2899
De'Aaron Fox,SAS,28,G,1.87962,0.359295,2.2389
Dylan Harper,SAS,20,G,0.453827,1.72012,2.1739
Moses Moody,GSW,24,G,0.505622,1.63817,2.1438
LeBron James,LAL,41,F,1.58611,0.557116,2.1432
Damian Lillard,POR,35,G,2.33106,-0.196399,2.1347
Stephon Castle,SAS,21,G,0.984258,1.14777,2.132
Grayson Allen,PHX,30,G,2.67663,-0.578337,2.0983
Coby White,CHA,26,G,2.93299,-0.835136,2.0978
Jalen Duren,DET,22,C,1.9298,0.144177,2.074
Cason Wallace,OKC,22,G,-0.93724,2.96292,2.0257
Tyrese Maxey,PHI,25,G,2.29797,-0.299622,1.9983
